table.gene_name,table.logFC,table.logCPM,table.F,table.PValue,table.FDR,adjust.method,comparison,test
F53F4.10,-3.7605719172157883,7.439020264691798,38.73180893273022,3.9275111225769574e-5,0.004266840245811334,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
C26F1.3,-5.252150725842621,6.563194198462048,38.70023428401469,3.9428379418425256e-5,0.004266840245811334,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
F56D1.1,-3.7240347360414265,7.293273872848085,38.148231062296595,4.2223626022120467e-5,0.004266840245811334,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
tsg-101,-3.691650491243358,5.282374625888466,38.1369554788547,4.228308116256833e-5,0.004266840245811334,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
C32D5.11,-3.8967800123138843,7.400616722211434,37.67648988589103,4.479638466141336e-5,0.004266840245811334,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
nduo-6,-4.927860699658804,8.917539699627902,37.60436634991182,4.520559594503904e-5,0.004266840245811334,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
mdt-27,-3.731090686129592,6.940877909321235,37.41186940733198,4.6319241117410544e-5,0.004266840245811334,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
C14B1.9,-4.918196713670554,7.862540353835684,37.24656355834049,4.73011095623492e-5,0.004266840245811334,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
arl-8,-4.515580753051925,6.615062208366053,37.160737974499305,4.7820426080607983e-5,0.004266840245811334,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
plpp-1.1,-4.347473889135285,6.840077209930265,37.1404798364894,4.79439703166478e-5,0.004266840245811334,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
R186.3,-5.150862955140438,6.395735715081344,37.068608938738144,4.838527986251922e-5,0.004266840245811334,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
T10E9.2,-3.1842538884959195,7.648035122483409,37.0144536104676,4.8720933335342065e-5,0.004266840245811334,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
pup-2,-4.401484067444475,8.357421403182114,36.910056115707825,4.937565998149025e-5,0.004266840245811334,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
ZK177.8,-4.21820481441568,7.144525155785985,36.88130033267757,4.95577951541223e-5,0.004266840245811334,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
parp-1,-4.2780658166637915,7.28784443023169,36.859429385722834,4.969684605050214e-5,0.004266840245811334,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
bre-3,-3.6216198069316983,6.249990732629927,36.792917372111106,5.012251240711401e-5,0.004266840245811334,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
unc-16,-4.108142086224547,6.434633380821468,36.784498585829866,5.017669309573336e-5,0.004266840245811334,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
F54D5.9,-3.656246773041814,7.5076934516241876,36.76623873133664,5.029444212466909e-5,0.004266840245811334,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
spk-1,-3.4720279872810815,7.471650922127341,36.64646577930974,5.107481801683578e-5,0.004266840245811334,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
isp-1,-3.230142015350296,8.206180066145853,36.47679756818805,5.220452193827434e-5,0.004266840245811334,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
htp-1,-4.695827138595938,6.79795936353004,36.37024898629042,5.2928812557981063e-5,0.004266840245811334,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
abhd-12,-3.3711391143113776,8.230314094109739,36.369313794805706,5.293522130658877e-5,0.004266840245811334,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
F55C12.5,-4.3268292634709935,6.7283580640032365,36.001192714671774,5.552951640608869e-5,0.004386169979731338,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
F49C12.9,-4.710395951356136,8.301491368156146,35.96956281913707,5.575924464967086e-5,0.004386169979731338,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
tag-321,-5.3798385628194865,7.413684615557654,35.071194932082925,6.277018888071217e-5,0.004524162861687205,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
C17G10.13,-4.200578841416032,6.420135202597307,34.99318081649827,6.342602050571849e-5,0.004524162861687205,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
C47G2.4,-3.203011914466401,7.41643830674222,34.99060968484459,6.344777022603175e-5,0.004524162861687205,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
tag-340,-3.822976935054107,7.049643243092964,34.91813285784207,6.406445051223901e-5,0.004524162861687205,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
pis-1,-4.256797865621751,5.6896745965240845,34.90974634585948,6.413625753039866e-5,0.004524162861687205,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
srpa-68,-3.108481824898288,7.701723704110191,34.83548270694562,6.477621988036949e-5,0.004524162861687205,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
lpin-1,-3.6757854613232492,6.667880565978037,34.79082409532862,6.516463887438234e-5,0.004524162861687205,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
skat-1,-4.162566757818594,7.047107839505445,34.674786426321944,6.618661044752304e-5,0.004524162861687205,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
inx-21,-4.0465061384537835,6.388819279373035,34.66783691970825,6.624840583675566e-5,0.004524162861687205,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
abi-1,-4.889220677702819,8.487832226330712,34.60457240225245,6.681405472260296e-5,0.004524162861687205,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
gly-20,-3.5373392429731085,7.41701906699592,34.600337672925704,6.68521176894206e-5,0.004524162861687205,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
K01D12.6,-3.97122857265389,6.8932938118205564,34.58069517738057,6.702900028399944e-5,0.004524162861687205,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
rpl-23,-5.152097765544306,7.424308229719028,34.499161181762815,6.776906611462062e-5,0.004524162861687205,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
T20B12.3,-4.304027261491493,6.259935098033426,34.49641139196013,6.779419055244857e-5,0.004524162861687205,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
ztf-15,-4.430096272970631,7.585420592776541,34.455918350063,6.816542724085361e-5,0.004524162861687205,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
rpl-29,-4.7492268260453425,5.1328011061448295,34.40879652116565,6.860041710936335e-5,0.004524162861687205,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
C36A4.4,-4.186078027829692,7.732986576802103,34.20310024026457,7.053745056739795e-5,0.0046053901475454125,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
Y71G10AR.4,-4.462591101241728,4.985233787841242,33.96343456854594,7.28751658201881e-5,0.004682661503116967,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
cgt-3,-4.433092701555746,7.646755061401511,33.83697562373118,7.414492561973704e-5,0.004682661503116967,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
F56C9.3,-3.70856759889722,7.8773297428628055,33.760471590887505,7.492558650108173e-5,0.004682661503116967,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
cyc-1,-2.6832277174947907,6.9122918728868035,33.75093306606347,7.50235881614503e-5,0.004682661503116967,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
F13H8.2,-3.404515954421936,6.8027392331693175,33.666898525481976,7.58934588320665e-5,0.004682661503116967,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
C01F6.9,-4.561574775177555,6.1469996820596915,33.65133571366959,7.605583964529869e-5,0.004682661503116967,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
mccc-1,-3.4089096589375205,7.644962005684654,33.586051476854564,7.674142760507205e-5,0.004682661503116967,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
F37A4.1,-3.531985985858146,7.798339126643783,33.35337297175937,7.9244086002876955e-05,0.00477175954905725,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
his-32,-4.112098600010118,5.076219713743441,33.315232589180646,7.9663316104647e-5,0.00477175954905725,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
F55A11.1,-3.3535162861063745,7.4210933921137485,33.19364567786871,8.10170976950968e-5,0.004780979120783611,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
lars-1,-3.6885131280777417,6.719304733342771,33.170150854263014,8.128177093076746e-5,0.004780979120783611,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
epg-4,-4.466396849046094,7.212723016211865,33.029612822970996,8.288612395016557e-5,0.0048318169934877765,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
rsks-1,-3.8695981093446044,6.33576159342942,32.94669903227081,8.38499236890672e-5,0.004844744705893095,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
T09B9.1,-3.884030252332803,7.048843388933469,32.84924649846805,8.499943814706467e-5,0.004868081856685835,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
tgn-38,-4.574462939715799,6.233887645984261,32.72158862348813,8.653309653518645e-5,0.0049128224980715856,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
ekl-6,-3.1176108612174787,6.835727577204982,32.613586499976805,8.78557975102237e-5,0.004944918120209057,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
K02F3.2,-4.083784072273249,4.836222948104278,32.47867539132889,8.954123390332308e-5,0.004986317291273426,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
ZK1307.9,-3.8070760048469894,6.769836072844241,32.43095291872528,9.014641363416173e-5,0.004986317291273426,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
nos-2,-4.444186487665889,9.675658464300911,32.34754841478849,9.121554954552843e-5,0.004986317291273426,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
B0361.6,-4.4692843859012665,6.8435062162904,32.306973382893105,9.174099805013654e-5,0.004986317291273426,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
R11H6.2,-3.428175857805515,7.716768148571645,32.25570852953641,9.240992376230427e-5,0.004986317291273426,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
F32A7.4,-3.8123449097262894,6.990675836909392,32.19010574524075,9.327423141851905e-5,0.0049917004666517285,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
pyp-1,-3.208650481019868,7.872749766756639,31.94634733999656,9.656917383021712e-5,0.00511144454459525,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
C23G10.7,-4.256069651168373,7.326753778294251,31.8641008183955,9.771133686005603e-5,0.00511144454459525,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
prx-14,-4.357405474261091,6.961959576101541,31.85344924518106,9.786040252326639e-5,0.00511144454459525,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
D1081.7,-3.7509202044678776,7.8020224692390565,31.758276385553945,9.920412875238306e-5,0.005140506004954833,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
C33A12.1,-4.345337161758828,6.373168892086965,31.655423734579827,1.0068048561139862e-4,0.005147849868962223,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
ubxn-4,-3.379090300381866,8.07000444081483,31.61221984408199,1.0130825209840298e-4,0.005147849868962223,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
fecl-1,-3.7838311267718785,6.795205215822609,31.584649954601712,1.017112319032205e-4,0.005147849868962223,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
F10E7.5,-3.4708119577813488,7.344976119197089,31.462877345250092,1.0351360136520704e-4,0.005167281808637527,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
gras-1,-3.3547341607570194,7.611682549818027,31.451890483442213,1.0367803904602789e-4,0.005167281808637527,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
cct-8,-2.9504521339080823,7.046953328297254,31.367874961102725,1.0494557675093059e-4,0.005190830837930499,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
nstp-5,-3.7335002456697777,5.735906819115495,31.170630176908897,1.0799291475131096e-4,0.005301396544445934,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
cye-1,-2.8835839143739737,6.0757413021504565,30.91949372180704,1.120230816288524e-4,0.005432094491695955,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
dlat-2,-3.909816461079095,7.4756597711816966,30.826054606381728,1.1356704609655299e-4,0.005432094491695955,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
F11A10.5,-3.308636041360016,8.2312355679416,30.808784656425953,1.1385511411990337e-4,0.005432094491695955,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
nap-1,-3.211871993728152,8.12664185593021,30.788385170522037,1.1419647968914515e-4,0.005432094491695955,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
scav-2,-3.1412869813795425,5.8089878610345345,30.68593559325972,1.1592898791154763e-4,0.005432094491695955,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
