table.gene_name,table.logFC,table.logCPM,table.F,table.PValue,table.FDR,adjust.method,comparison,test
F28B3.5,2.150651008681882,7.906050311645764,20.384594011692457,0.00066229490049024575,0.010344792835647881,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
ceh-49,2.051674558206002,7.213377901557166,20.202113151060527,6.864724037945472e-4,0.010399021634279812,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
let-49,2.0894020845815415,7.498617261897439,20.154695824490236,6.929222197694501e-4,0.01042516619574318,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
acin-1,2.5767466535334513,8.043005878434446,19.985917326755708,7.164598652904152e-4,0.010640515389467963,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
ggtb-1,2.1701961171876003,7.88584977749251,19.94515177043534,7.22283858006576e-4,0.010640515389467963,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
ttr-53,2.988923461795645,7.589710163337823,19.92467275473303,7.252304102179879e-4,0.010640515389467963,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
T24E12.1,2.4524547596827673,6.195945862328306,19.87680543426202,7.321724318705967e-4,0.010670432606435548,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
ran-2,2.3066459120681,7.909189597301311,19.745437328303186,7.516256985210971e-4,0.01079057465352462,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
cbs-1,3.0563773617180545,6.009523486303108,19.71094954766672,7.568321057688837e-4,0.010836308812642635,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
ccch-5,2.8793352600186677,5.673780362842045,19.694548134799817,7.593228636351787e-4,0.010846515346405112,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
hsf-1,2.5999284732841903,8.589858466641964,19.680549659841752,7.614562632046249e-4,0.010846515346405112,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
F26H9.5,2.535685465169743,8.844121212806431,19.570646234982284,7.78450678864856e-4,0.010929591761447328,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
ztf-28,3.4332122458540275,5.430224900226483,19.52559307532014,7.855447226714043e-4,0.010959020287011963,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
F47B10.9,2.743662063832075,5.578088799872382,19.34951699209586,8.140017773767504e-4,0.011212273427200008,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
fkb-2,2.2268302079642877,7.5617759910399505,19.31054000946876,8.20462512031422e-4,0.01123018813637978,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
knl-3,1.9934154243287454,7.7565116552711295,19.210121903606954,8.373847877877762e-4,0.011398356803230031,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
rpn-10,2.648471075182819,9.210058302033987,19.07387766363172,8.609990898026523e-4,0.011540202717434174,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
syx-7,2.1916280709634255,6.977624858002773,19.0701064087552,8.616636927087498e-4,0.011540202717434174,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
F32B6.3,2.2652450539862086,7.081044324215649,19.056757522750896,8.640209562907051e-4,0.011540202717434174,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
sex-1,2.8661869588602813,7.387812798761514,18.883407173220355,8.953255748532698e-4,0.011857161619101416,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
C42C1.8,2.3333576450503304,9.094987799440018,18.725542634738026,0.00092498898258022255,0.01188723947326167,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
eif-2Bepsilon,2.662873266288276,7.811906328617415,18.688380931642975,9.321374370110165e-4,0.01188723947326167,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
ari-1.3,3.2608775927944116,7.812577666338452,18.576119999440525,9.541263293703167e-4,0.012072656597788368,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
crn-1,2.2002112478614877,8.878955083203625,18.566273872735778,9.560835986492087e-4,0.012074022854121246,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
Y71F9AL.1,2.291157842537459,6.919486880351973,18.516470568081218,9.660557785264813e-4,0.012078040414416366,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
fust-1,2.235938449642789,7.95335042566538,18.46013145093398,9.774831210273864e-4,0.012133055698075677,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
C44B9.3,1.9835583661614329,7.779210356731903,18.397595030266242,9.903524513433604e-4,0.012240564873955058,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
ceh-58,2.256960799955401,6.1686158428709525,18.314346074719893,0.0010077919205728053,0.012298828877420273,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
cec-7,2.0338518240613577,7.877884720454579,18.13355069202445,0.001046913901688594,0.012642395502809224,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
Y50D4C.6,2.464720900825399,5.821363003374934,18.10582168890885,0.0010530694592040778,0.012662045118127853,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
T16G12.8,2.3198850364353762,7.9905061135110085,17.842804924995942,0.00111360409143533,0.012937226179681975,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
F27D4.4,2.1738214973976895,8.460576082719275,17.81968911317682,0.0011191156482749539,0.012960884299207583,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
C48B4.7,2.1178390220842385,7.475327190984605,17.783410664326983,0.0011278298582476996,0.012964086522005687,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
B0393.3,2.7146225377368474,10.263269120996506,17.659777725755692,0.0011581268567785092,0.013107785296308745,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
gale-1,2.242921425431836,7.406389702827998,17.583513074582797,0.0011772891310334608,0.013229811938928512,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
gpdh-2,2.1341054835296625,8.4090793442919,17.484258976585096,0.0012027841112343277,0.013423893097861411,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
rsp-6,2.681038411948191,9.30403731315051,17.44418508712745,0.0012132597612803647,0.013494672881430154,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
hrp-1,2.4105638889662964,9.160591949097869,17.398506484823475,0.0012253305293127002,0.013554307448251167,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
thoc-5,2.10840851748823,7.668806668891897,17.345606962741112,0.0012394848515071015,0.013554307448251167,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
C06G3.6,2.411726651648523,5.974342257891475,17.33128319360177,0.0012433502024195543,0.013554307448251167,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
K04C2.3,1.9909697604505785,7.1144498942286685,17.3234618127871,0.0012454667789476726,0.013554307448251167,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
mab-20,2.181787146313667,6.3267255532763915,17.322934949282022,0.0012456095066550315,0.013554307448251167,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
F14H3.3,1.953657922916817,6.788665145394874,17.29479533042425,0.001253260336426461,0.013590099528719443,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
T22C1.6,2.1698501643331984,7.392627993916385,17.28796092200507,0.0012551267931975578,0.013590099528719443,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
scav-3,2.1076458553075743,7.773517895145319,17.250080623408437,0.0012655307514481313,0.013677201816885243,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
gpd-1,2.443048678579934,8.783216992493758,17.24339498746173,0.0012673774083650747,0.013677201816885243,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
H25P19.1,2.1450754985339566,6.67288597740428,17.108113978131534,0.0013054274531301847,0.01397150694276309,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
C50E3.13,2.1045260322700137,7.318688335850755,17.086018108707762,0.0013117680741175945,0.01397150694276309,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
bcas-2,2.693163765901325,8.429170598897775,16.97561966087035,0.0013439910626098796,0.01412012036067143,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
R10E11.6,2.7068923144152923,4.9633149942752555,16.97346672916758,0.001344628574305449,0.01412012036067143,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
B0205.9,2.0484959368826425,7.800161471486965,16.971587571157574,0.0013451853062241737,0.01412012036067143,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
lido-12,2.005033582484997,7.321873321430742,16.889905273652996,0.0013696469105864632,0.014214237800703432,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
F14H3.4,1.988600339673666,7.683686766490819,16.8038722805311,0.0013959743153053143,0.014322929450996452,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
cup-5,2.1290423999729264,8.203270027503443,16.789414373820733,0.001400456355818188,0.014322929450996452,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
hal-3,2.2734567144335553,6.734586837664285,16.785090773725088,0.0014017999569898502,0.014322929450996452,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
C01G6.3,2.192061980191837,9.47899106607358,16.750753665797838,0.0014125240977812205,0.014387472440582822,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
T05F1.4,2.914787718627286,7.675385849750464,16.705469692841483,0.001426813805380765,0.014407113290906595,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
crh-1,1.942762065509884,6.287411926929998,16.65702027754674,0.0014422894580114801,0.014442278825724644,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
Y49F6B.9,1.9769539698652703,6.402717706200976,16.654856223448217,0.0014429852522431805,0.014442278825724644,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
atx-3,2.311846168398358,7.108509902408086,16.643443777200698,0.001446661104613864,0.014442278825724644,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
baf-1,2.1105706776946396,7.28511194008383,16.634425385583658,0.0014495735787704341,0.014449260909606357,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
spcs-3,1.8750471262214072,7.644530267904194,16.621172630514376,0.0014538659518581237,0.01446995548731965,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
let-413,2.428268549000241,6.0545059682677955,16.58387038561176,0.0014660274180075667,0.014498592631077787,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
F10C2.5,2.114294832207869,5.3883911629020345,16.572836031147407,0.0014696476066977115,0.014498592631077787,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
Y71H2AM.13,3.6629791334637467,2.4789977061186357,16.528742315390534,0.0014842184927294816,0.014510385040498432,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
F02H6.3,2.664985812391264,7.6769562448659245,16.515600414608258,0.001488593816174554,0.014510385040498432,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
exo-3,2.1693227936533863,7.653273583492129,16.5142555090036,0.0014890424225967144,0.014510385040498432,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
mdf-2,2.8247776238703937,8.174479535836975,16.505148320427487,0.0014920843671380473,0.014513185801547288,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
gei-4,2.5419415567086148,7.96926012389291,16.463668860349674,0.0015060311764619244,0.01458883909661707,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
pafo-1,2.1261466750348217,8.574431515454647,16.420693899963588,0.0015206414776022868,0.014600394422449016,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
Y54G2A.18,2.3143063135437165,8.265969557986864,16.346037770914727,0.0015464174631478014,0.014782664153575396,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
taf-3,1.9277173897456727,6.683843587897252,16.308291304088772,0.0015596437251203853,0.014884549116109426,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
B0272.3,2.0638333167812126,7.92228828314501,16.269507641522463,0.0015733710716828177,0.014925206858139662,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
C02F12.8,2.278077233136312,6.703508717915303,16.251992180398346,0.0015796167772973665,0.014925206858139662,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
cpf-1,2.03153475362193,8.428594956905636,16.203005138040233,0.0015972388420071916,0.015016981284341308,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
fcp-1,2.315281883881105,7.936913789417104,16.202708129846222,0.0015973463817829134,0.015016981284341308,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
rsp-3,2.613398048392144,9.398798348903098,16.193125708616854,0.0016008204906411778,0.015016981284341308,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
mys-1,1.8609115930089646,7.491706142706507,16.193099553383988,0.001600829985281291,0.015016981284341308,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
rom-1,2.2919873831010467,6.1013159698943245,16.017032396783442,0.0016662597984718214,0.015348795303928447,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
T24G10.2,1.8221087404801337,8.174193975043355,16.015709638127554,0.0016667630372928883,0.015348795303928447,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
rpa-2,2.4041857402787388,9.679426332594081,15.924844091230854,0.0017017608687262633,0.015521995700470272,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
nhr-12,1.890970192039035,6.858814355309921,15.892229840775782,0.0017145311667036446,0.01557932946322123,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
suds-3,2.3893326792425276,7.521831318676342,15.86349409195263,0.0017258755451466947,0.01562154630502256,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
C41D11.9,2.0943715066914566,6.919389723951928,15.853406528851153,0.0017298786917646363,0.01562154630502256,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
C31C9.2,2.215550545042452,6.446548715653195,15.833029997525633,0.0017379980005568414,0.015651570959497405,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
hda-10,2.148454483948446,6.4956120256317895,15.733531436243467,0.0017782889095367285,0.015807806516412892,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
nhr-10,2.7008463702953325,5.736836846240052,15.727588872853723,0.0017807295777221988,0.015807806516412892,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
pnn-1,2.037450555291695,7.536932214575566,15.64676005205995,0.0018143179724160862,0.015957181746121245,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
ubc-3,2.0595975991355613,7.616474325223261,15.620183255839335,0.0018255230452554406,0.016019946186119315,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
mvb-12,2.2581062409212005,7.371475182004292,15.600263472259737,0.0018339744067671852,0.01607250859299725,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
swp-1,2.2436098989420077,6.438035719423874,15.536676131987782,0.0018612596860769466,0.016181310905987196,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
nono-1,1.7790913808692266,7.7727738163852615,15.509582221324619,0.0018730293885246949,0.0162403836356942,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
T16G12.9,5.997750505188657,1.567629176413873,15.502298897972405,0.001876208089155725,0.016246369514718473,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
dpy-19,2.2728284364558142,5.807933290266531,15.464262639756024,0.0018929110948924257,0.016304507306797687,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
cdk-4,3.139670069930282,6.670302298456292,15.448231679502452,0.0019000027665790902,0.016344029068504455,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
tcer-1,2.7707848037279073,8.074571116458312,15.410273723779353,0.0019169183333529692,0.016381622772855414,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
pnk-1,2.0215731639049435,7.785882456021841,15.361950793751173,0.001938707869737079,0.01646010881861299,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
K02F6.7,2.1899663545690453,7.787508490484952,15.347773832298241,0.001945155220811734,0.016472008348482246,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
M70.4,1.7434402107449742,7.0339112864601026,15.312147798601844,0.001961467861697613,0.016524417637449957,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
ZK1053.4,2.1865808771148907,6.399496907355951,15.262673113997312,0.0019843871522975576,0.0166744706787011,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
meg-4,2.1661446400289344,7.970001391167349,15.229900161903641,0.001999741436238324,0.01674747438629392,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
mut-2,1.8854150350403192,8.33264509936075,15.20748365807741,0.002010323542553015,0.016805892969690955,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
T24C2.2,2.187813845719812,5.713152317424997,15.16509971367972,0.002030510762950833,0.01688877712395875,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
tbx-33,3.013964338799507,5.808492129168883,15.164944574017955,0.0020305850884220584,0.01688877712395875,BH,-1*onecell.Ribo 1*onecell.RNA 1*twocell.Ribo -1*twocell.RNA,glm
